title,date,url,text
谣言：“银保监会”给贷款申请人发“红头文件”？,2023-03-06,https://baijiahao.baidu.com/s?id=1759605973372807329,"  真相：近日，有多名网友反映收到来自“中国银行监督管理委员会办公厅”发出的“通知函”，称“因贷款申请人XX贷款账户信息不符，下款出现异常，现将贷款资金冻结……需要重新递交身份证正反面，同时需提交贷款金融50%的对接认证金，才能解冻账户”。

  实际上，这是典型的虚假网络贷款类诈骗。银行监管机构不会向自然人下发红头文件，银保监会及其派出机构无权直接冻结任何单位或个人的银行账户，也没有所谓的认证账户，更不会让你转钱。不法分子利用客户急需贷款的迫切心情，编造账户被冻结需交纳“认证金”的谎言，并以涉嫌骗贷犯罪对客户进行恐吓。

  请大家提高风险防范意识，通过正规渠道办理贷款。对于陌生好友、陌生来电、短信、网络广告等非正规途径推销“低息快捷”“免抵押担保”贷款业务的行为，应提高警惕。（来源：“公安部网安局”微信公众号）

  

  热点：北京今年甲流比常年来得“猛”？

  详情：北京市疾控中心最新通报：目前，北京市季节性流感疫情活动强度呈现明显上升趋势，其中甲型流感病毒占绝对优势，占比99%，未来流感流行趋势仍需进一步观察。

  今年的甲流高峰为何来得“晚一些”？流感一般会在当年的12月份出现流行高峰后下降，但在来年的春天疫情收尾前通常会再次出现小的波动。今年情况较为特殊。既往三年流感流行强度较低，人群感染率低的同时，人群的免疫水平也较低。伴随着全市大中小学生开学，人群流动性增加，聚集活动频繁，流感疫情活动强度也出现了明显的上升。

  流感“重点人群”如何做好防护？5岁以下儿童、老年人、患有慢性病或体质虚弱者是季节性流感感染的高危人群，感染后更易发生病毒性肺炎、继发细菌性肺炎、急性呼吸窘迫综合征等并发症。这类人群在做好日常预防保护措施之外，一旦出现发热，伴畏寒、寒战等全身症状，应密切观察病情变化，如病情出现进行性加重，应及时就医。（来源：“北京日报”微信公众号）   

  

  通报：“网暴”他人还虚构微博收益，涉事博主被禁言！

  详情：近日，一博主在其微博发布“网暴”未成年人信息，并晒图宣称其“一天就获得786元收益”，且叫嚣“多骂点，给我赚点广告共享”，引发网友关注。经微博创作者广告共享计划官方微博核实，该博主使用了虚假图片夸大收入，蓄意引导负面舆论。其入驻至今每日平均收益为5元，并不存在单日分成780余元的情况。而上述博主发布的“网暴”未成年人的视频，正是最近刷屏的湖南桑植县某中学一高三学生。对此，网友进行回击：“对高中生进行网暴，才是真正的难看。”目前，该用户因违反《微博社区公约》，现已处于禁言状态。（来源：“中国青年报”微信公众号）

举报/反馈"
谣言：四川德阳“中江机场建设成功”？,2023-03-06,https://baijiahao.baidu.com/s?id=1759605907311099592,"谣言：四川德阳“中江机场建设成功”？

  真相：近期，多名网民在抖音短视频平台发布“四川德阳中江机场建设成功”“德阳中江仓山镇要修机场”“中江国际机场直飞拉萨”等信息，引发关注。经四川省规划部门核实，该信息不实。（来源：四川互联网联合辟谣平台、@微播中江）

  

  误区：每天吃一个鸡蛋，对身体不好？

  详情：研究表明，每天吃一个鸡蛋不会升高胆固醇，每周食用五个或更多鸡蛋也不会对葡萄糖或血压相关结果产生不利影响。相反，适量食用鸡蛋能降低糖尿病、高血压和心血管疾病的发生风险。现阶段，我国饮食指南建议每天吃一个鸡蛋；但研究数据表明，我国人群的鸡蛋平均摄入量远不到推荐量。因此，需要多鼓励人们适量食用鸡蛋，以此来降低心血管疾病的总体风险。（来源：健康时报）

  

  热点：中央网信办“清朗·2023年春节网络环境整治”专项行动查处一批违法违规典型问题

  详情：近期，中央网信办部署开展“清朗·2023年春节网络环境整治”专项行动，集中查处一批违法违规典型案例，有效遏制网上突出问题，为广大网民营造出良好的春节舆论氛围。截至目前，重点平台累计拦截清理违法不良信息119万余条，处置违规账号、群组16万余个，各网站平台清理各类垃圾信息73万条，专项行动取得明显成效。其中，包括及时处置借春节档电影挑起互撕对立、诱导明星粉丝刷票冲量等问题；严肃查处恶意炒作炫耀服刑经历问题；严格管控编造虚假信息和虚假剧情问题；集中查处恶搞未成年人、诱导未成年人沉迷网络等问题；坚决整治网络赌博引流、传播低俗信息等问题。

  后续，网信部门会持续组织力量开展监测，对于问题整改不到位的网站平台和账号，依法从重追究责任。今年，中央网信办将继续深入开展“清朗”系列专项行动，下大力气整治网上人民群众反映强烈的问题乱象，努力营造更加清朗的网络空间。（来源：“网信中国”微信公众号）

  提示：2022年度个税汇算今日开始 个税将再次“多退少补”

  详情：3月1日，2022年综合所得年度汇算开始，时间为3月1日至6月30日，届时个税将再次进行“多退少补”。纳税人如需在3月1日至3月20日之间办理年度汇算，可登录手机“个人所得税”APP进行预约，3月21日后，无需预约即可登录手机“个人所得税”APP直接办理。

  需要办理汇算的情况包括：已预缴税额大于汇算应纳税额且申请退税的，以及2022年取得的综合所得收入超过12万元且汇算需要补税金额超过400元的。因适用所得项目错误或者扣缴义务人未依法履行扣缴义务，造成2022年少申报或者未申报综合所得的，纳税人应当依法据实办理汇算。（来源：人民网科普）

举报/反馈"
谣言：北京将全面取消中考？,2023-03-06,https://baijiahao.baidu.com/s?id=1759605801288064261,"谣言：北京将全面取消中考？

  真相：近期，关于“北京将全面取消中考”的消息在社交平台上广泛传播，引发考生及家长的担忧。对此，北京考试报2日发文称 ：为探索多元招生录取方式，北京市2022年首次在东城区和西城区的部分普通高中开展登记入学试点，并继续推动实施1+3人才培养试验工作。两项招生政策在一定程度上为考生升入高中提供新的选择机会，但也需要满足一定的条件和要求。其目的是让北京学子的升学能有更多选择，而非“捷径”，更不是所传的“北京将全面取消中考”。（来源：北京日报、北京考试报）


  详情请戳：网传北京取消中考？官方回应

  

  热点：全国爱耳日丨新生儿听力筛查至关重要

  详情：婴幼儿时期是学习语言的关键期，如果孩子存在听力障碍，不仅会导致聋哑，还可能造成情感、心理和社会交往等能力发育迟缓。作为能早期发现新生儿听力障碍的有效措施，新生儿听力筛查至关重要。

  专家提示，一些孩子还存在新生儿期听力检查正常，而成长中出现听力损失的情况。家长在孩子成长中要多注意观察，如果孩子有对他人的呼叫反应迟钝或无应答、言语发育不好、沟通交流能力差等情况，都要考虑听力受损，并及时就医。（来源：新华网）

  

  提示：购买演唱会票需谨慎！已有多人受骗！

  详情：近期，多位歌手陆续官宣演唱会行程，很多网民已经摩拳擦掌准备抢票了。公安部网安局发布重要提醒：在各种社交平台上以官方票务logo为头像，用户名为XX票务代理，主动私信询问是否有票务需求的极有可能是骗子，不要搭讪，提防被骗！

  最安全的方法是在官方网站上购买。不要轻易点击陌生链接，谨防木马程序盗取网银账号（骗子会自制虚假票务网站）。凡是不通过正规平台交易，以各种理由要求你反复付款，退款还要交保证金的，都是骗局。对订票信息有任何疑问，请联系正规票务公司客服，一旦发现被骗应及时报警，并保留好相关证据。（来源：公安部网安局）

举报/反馈"
谣言：乌鲁木齐住房公积金额度上限再度提高，可贷80%房款？,2023-03-06,https://baijiahao.baidu.com/s?id=1759605646773631641,"  真相：近日，乌鲁木齐等地流传一张题为《住房公积金重大改革》的图片，用“住房公积金贷款额度上限再次提高”“可以贷款80%房款”等字眼博人眼球。

  对此，乌鲁木齐市住房公积金管理中心发布声明，该信息纯属谣言，如若住房公积金政策有调整或变更，会第一时间通过其公积金管理部门官方网站、官微通报，其他来源信息均非官方发声。（来源：新疆互联网联合辟谣平台、乌鲁木齐晚报）

  

  误区：白色草莓是转基因水果吗？能否安心食用？

  详情：近年来，市面上出现了多个白色草莓品种。由于它与普通草莓颜色相差较大，有民众担心白色草莓属于转基因水果，因而不敢食用。

  白草莓其实是通过传统的杂交育种培育出来的，并非转基因水果。草莓是一种很容易变异的浆果植物，当草莓的基因发生突变，导致花青素合成减少，于是颜色就变淡了。在草莓中挑选颜色变白的，再通过杂交等多种育种手段培育，就能获得白草莓品种了。（来源：科普中国）

  

  热点：高三女生百日誓师遭网暴，87个账号被处置

  详情：日前，在湖南桑植某中学举行的高考冲刺百日誓师大会上，一名高三学生代表因激情澎湃的发言遭受到个别网民恶意调侃甚至人身攻击。

  对此，@微博管理员发布消息称，微博站方依据《微博社区公约》等相关规定，共清理相关违规内容116条，并对87个违规账号视程度予以阶段性禁言的处置。

  据悉，校方已第一时间对涉事学生进行了心理辅导，目前孩子一切都恢复正常，正在积极备战高考。此外，当地网信和公安部门也已介入调查。（来源：中央政法委长安剑公众号、中国青年报）

  提示：3月预计有3次冷空气过程影响我国

  详情：近日，中国气象局新闻发布会上公布了3月气候趋势预测情况。预计3月份，除云南南部气温较常年同期偏低外，全国大部地区气温接近常年同期到偏高；3月份影响我国的冷空气过程将主要有3次，出现的时间和强度分别是上旬前期（中等）、中旬前期（弱）和下旬后期（弱）。

  根据3月气候趋势预测，气象服务提示建议：

  一是3月冷空气活动势力总体较弱，不利于污染物扩散，特别是华北中南部、长三角等地温高雨少，天气污染风险增加，公众需加强自我防护。

  二是降水偏少、气温偏高，尤其是云南北部、四川南部、新疆北部、内蒙古西北部地区森林草原火险等级偏高，需加强防范。

  三是西南地区东部需加强阴雨天气影响下的田间管理，建议做好病虫草害防治工作。西藏南部冰冻雨雪灾害风险高，需关注雪灾对人们出行和牧业生产的不利影响，做好防御安排。（来源：央视新闻客户端）

举报/反馈"
食用菠萝会导致肾衰竭？,2022-12-09,https://baijiahao.baidu.com/s?id=1751733438844286511," 


菠萝不包含导致肾衰竭的特殊成分，吃菠萝并不会导致急性肾衰竭。

菠萝含有大量的果糖，葡萄糖，维生素A、B、C，磷，柠檬酸和蛋白酶等物质，对我们的身体有很多好处。菠萝味甘性温，具有解暑止渴、消食止泻之功。

不过，患有牙周炎、胃溃疡、口腔黏膜溃疡的人要慎食菠萝。

举报/反馈"
紫外线、红外线能用于疫情期间居家消杀？,2022-12-09,https://baijiahao.baidu.com/s?id=1751732777099188277,"国务院联防联控机制新闻发布会日前解答公众疑问，明确指出紫外线、红外线家用消毒设备不适用于疫情消毒。

紫外线、红外线消毒原理是啥？

为啥不能用于新冠病毒？

盲目使用有啥安全隐患？

带您一图读懂↓↓

责任编辑： 周文婧
举报/反馈"
奥密克戎病毒更名为新型冠状病毒感冒？谣言,2022-12-09,https://baijiahao.baidu.com/s?id=1751732686106995526,"11月30日晚，“羊城晚报”微博发布辟谣声明：2022年11月30日18时35分，有人恶意P图，假冒羊城晚报官方微博之名，发布“本次奥密克戎病毒正式更名为新型冠状病毒感冒”等不实言论，造成恶劣影响。现严正声明：本报所有端口从未发表类似言论，已报警处理。网络不是法外之地，对恶意编造及散布不实信息者，本报将依法追究其一切责任。

责任编辑： 周文婧
举报/反馈"
男子赌球输1800万跳楼？当地回应！,2022-12-09,https://baijiahao.baidu.com/s?id=1751732471767756173,"据浙江省杭州市萧山区人民政府新闻办公室官方微博消息，近日，关于一则“男子赌球后跳楼”的信息在网上流传，经官方核实，该信息不实。11月22日20时许，萧山警方接群众报警，北干街道某小区一男子坠楼。经查，该男子系因病产生轻生念头，目前公安机关已初步排除刑事案件可能。网络不是法外之地，希望广大网民不造谣、不信谣、不传谣，非经权威渠道证实，不要轻信盲目转发，一切以官方发布为准。

责任编辑： 周文婧
举报/反馈"
网传“重庆北站羊儿客拉人到方舱医院有补贴”？谣言,2022-12-09,https://baijiahao.baidu.com/s?id=1751732422283456844,"　网传重庆北站羊儿客拉人到方舱医院有补贴系谣言，造谣者已被警方抓获并开展调查。

　　经查，11月19日，暂住在江北区观音桥街道一小区的叶某（男，28岁，渝北区人）为博人眼球，道听途说未经核实编造“方舱医院收一人有3500补贴，火车北站有羊儿客在拉人……”谣言，在微信群散布，后聊天截图被网民转发，造成恶劣影响。目前，叶某已被警方抓获，承认了其编造传播谣言违法事实。警方已受案，正进一步调查处理中。

责任编辑： 周文婧
举报/反馈"
网传“北京站建站63年来第一次闭站”？官方回应,2022-12-09,https://baijiahao.baidu.com/s?id=1751732376669811333,"　11月23日晚，网传“北京站建站63年来第一次闭站，将载入站史”。针对这一传言，11月24日00:03时，北京站官方微博发布消息予以澄清，由于北京站夜间无旅客列车始发终到，车站结合客流实际从当晚23:00至次日6:00采取临时闭站措施，早6:00后车站将有序组织旅客正常乘降。

责任编辑： 周文婧
举报/反馈"
